symbol,reason,closedAt,pnl,quantity,entryPrice,exitPrice,peakPrice,postHigh,highVsExitPct,missedToHigh,holdMinutes,score,mtfMatches,adx,premiumAtRisk,finalAboveExit,recoveredEntry
GOOGL,runner_trail_stop,2026-05-22T14:47:56.387Z,-68.02,3,4.95,4.73,7.23,0,0,0,1137.9,79.2,2,22.62,1485,,
HOOD,runner_trail_stop,2026-05-22T15:21:57.247Z,366.64,5,1.1,1.84,2.42,0,0,0,1182,79,2,22.14,550,,
ARM,runner_trail_stop,2026-05-22T15:32:59.235Z,1336.33,1,9.83,23.2,28.83,0,0,0,1202,87.4,3,22.25,983,,
IONQ,unknown,2026-05-22T16:10:07.709Z,381.64,5,0,2.21,0,0,0,0,0,0,0,0,0,,
AAPL,unknown,2026-05-22T16:10:07.709Z,16.65,2,0,5.98,0,0,0,0,0,0,0,0,0,,
DIA,unknown,2026-05-22T16:10:07.709Z,637.31,4,0,5.2,0,0,0,0,0,0,0,0,0,,
USO,unknown,2026-05-22T16:10:07.709Z,170.65,2,0,8.36,0,0,0,0,0,0,0,0,0,,
GOOGL,unknown,2026-05-22T16:10:07.709Z,-1.35,2,0,7,0,0,0,0,0,0,0,0,0,,
AMZN,runner_trail_stop,2026-05-22T16:39:43.528Z,314.65,2,6.3,7.88,10,0,0,0,1494.7,73.9,2,13.79,1260,,
VXX,opposite_signal,2026-05-22T17:55:37.165Z,-23.36,5,0.67,0.63,0.71,0,0,0,42,64,2,12.23,335,,
HUT,opposite_signal,2026-05-22T18:46:07.296Z,899.33,1,7.7,16.7,17.18,0,0,0,1755.1,73.5,2,13.05,770,,
GLW,opposite_signal,2026-05-22T18:53:55.110Z,-106.67,1,9.94,8.88,9.94,0,0,0,100.1,74.9,3,16.44,994,,
AAOI,overnight_risk_exit,2026-05-22T19:56:45.596Z,31.33,1,14.63,14.95,15.6,0,0,0,194.7,76.2,3,18.72,1463,,
CCJ,overnight_risk_exit,2026-05-22T19:56:47.505Z,-164.02,3,4.31,3.77,4.75,0,0,0,185.5,70,2,13.3,1293,,
SMCI,unknown,2026-05-22T20:00:00.872Z,1316.64,5,0,3.67,0,0,0,0,0,0,0,0,0,,
MSFT,early_invalidation,2026-05-26T15:13:59.257Z,-201.67,1,7.98,5.97,7.98,0,0,0,33,85,2,38.62,798,,
SPY,early_invalidation,2026-05-26T15:30:16.976Z,-211.35,2,5.12,4.07,5.42,0,0,0,56.6,91.9,3,22.67,1024,,
TSLA,early_invalidation,2026-05-26T16:15:46.676Z,-213.67,1,10.09,7.96,10.58,0,0,0,36.9,89.5,3,18.61,1009,,
RBLX,early_invalidation,2026-05-26T17:59:38.601Z,-438.06,9,2.02,1.54,2.02,0,0,0,82.8,68.8,2,11.27,1818,,
COHR,opposite_signal,2026-05-26T18:57:13.718Z,-167.67,1,18.07,16.4,18.07,0,0,0,134.6,77.9,3,12.53,1807,,
SMCI,runner_trail_stop,2026-05-26T19:11:37.722Z,136.64,5,1.92,2.2,2.9,0,0,0,248,92.8,3,24.19,960,,
AAOI,hard_stop,2026-05-26T19:12:26.004Z,-477.67,1,15.27,10.5,15.27,0,0,0,56.8,72,3,27.29,1527,,
GLW,opposite_signal,2026-05-26T19:23:38.888Z,-151.35,2,8.17,7.42,8.68,0,0,0,67.8,71.7,3,11.21,1634,,
NVDA,opposite_signal,2026-05-26T19:38:08.103Z,-38.36,5,3.95,3.88,4,0,0,0,59.5,71.1,2,24.07,1975,,
MSFT,overnight_risk_exit,2026-05-26T19:45:20.358Z,-39.35,2,6.69,6.5,6.69,0,0,0,6.9,82.5,2,20.78,1338,,
GOOGL,overnight_risk_exit,2026-05-26T19:45:29.975Z,-80.02,3,6.54,6.28,6.54,0,0,0,1.7,78.9,2,14.82,1962,,
SPY,overnight_risk_exit,2026-05-26T19:47:24.990Z,-50.69,4,4.84,4.72,4.84,0,0,0,0.2,89.1,3,17.96,1936,,
DIA,overnight_risk_exit,2026-05-26T19:55:46.082Z,-94.69,4,4.39,4.16,4.39,0,0,0,1.4,80,3,28.34,1756,,
AMZN,overnight_risk_exit,2026-05-26T19:59:44.540Z,-29.35,2,6.74,6.6,6.74,0,0,0,2.3,68,2,18.93,1348,,
ANET,opposite_signal,2026-05-22T14:03:35.356Z,596.64,5,2.5,3.7,3.7,0,0,0,1143.6,79.1,2,22.37,1250,,
